41562,41618,120,686,299,Terminated,1,1,1.5,0.29,,
41561,41619,120,686,1279,Terminated,1,1,0.89,0.28,,
41562,41617,120,686,828,Terminated,1,1,0.94,0.29,,
41561,41617,120,686,95,Terminated,1,1,1,0.31,,
41557,41610,120,686,545,Terminated,1,1,1.37,0.29,,
41557,41614,120,686,258,Terminated,1,1,1.18,0.27,,
41558,41614,120,686,495,Terminated,1,1,1,0.27,,
41560,41619,120,686,831,Terminated,1,1,0.84,0.37,,
41561,41616,120,686,1169,Terminated,1,1,0.89,0.32,,
41561,41616,120,686,678,Terminated,1,1,0.96,0.3,,
41559,41618,120,686,350,Terminated,1,1,0.92,0.29,,
41557,41619,120,686,577,Terminated,1,1,1.03,0.27,,
41560,41613,120,686,1063,Terminated,1,1,0.97,0.3,,
41561,41623,120,686,1302,Terminated,1,1,0.71,0.29,,
41557,41619,120,686,211,Terminated,1,1,1.07,0.31,,
41558,41615,120,686,53,Terminated,1,1,0.89,0.31,,
41561,41618,120,686,683,Terminated,1,1,0.91,0.31,,
41561,41615,120,686,399,Terminated,1,1,1.2,0.31,,
41557,41617,120,686,467,Terminated,1,1,1.1,0.24,,
41557,41617,120,686,237,Terminated,1,1,1.33,0.23,,
41562,41625,120,686,409,Terminated,1,1,0.86,0.29,,
41560,41618,120,686,1247,Terminated,1,1,0.9,0.29,,
41561,41617,120,686,1042,Terminated,1,1,0.85,0.31,,
41559,41629,120,686,127,Terminated,1,1,0.93,0.29,,
41558,41619,120,686,302,Terminated,1,1,0.91,0.28,,
41562,41621,120,686,1014,Terminated,1,1,0.84,0.26,,
41560,41621,120,686,1306,Terminated,1,1,0.73,0.3,,
41558,41614,120,686,83,Terminated,1,1,0.92,0.29,,
41557,41616,120,686,439,Terminated,1,1,1.11,0.23,,
41560,41618,120,686,732,Terminated,1,1,1,0.3,,
41560,41620,120,686,1011,Terminated,1,1,0.8,0.29,,
41560,41616,120,686,1298,Terminated,1,1,0.84,0.3,,
41560,41616,120,686,1295,Terminated,1,1,1.01,0.3,,
41558,42163,120,686,879,Terminated,1,1,1.04,0.85,,
41561,41617,120,686,752,Terminated,1,1,1,0.28,,
0,0,120,686,,Interrupted,1,1,,,,
41558,41617,120,686,984,Terminated,1,1,0.9,0.29,,
41562,41625,120,686,809,Terminated,1,1,0.62,0.3,,
41559,41620,120,686,818,Terminated,1,1,1.02,0.27,,
41562,41620,120,686,632,Terminated,1,1,0.91,0.3,,
41561,41618,120,686,590,Terminated,1,1,0.88,0.28,,
41558,41620,120,686,165,Terminated,1,1,0.93,0.29,,
41560,41712,120,686,899,Terminated,1,1,0.99,0.5,,
41560,41617,120,686,606,Terminated,1,1,0.91,0.28,,
41560,41614,120,686,794,Terminated,1,1,0.92,0.31,,
41561,41625,120,686,21,Terminated,1,1,0.79,0.3,,
41558,41615,120,686,573,Terminated,1,1,0.99,0.3,,
41560,41621,120,686,159,Terminated,1,1,0.85,0.29,,
41559,41634,120,686,784,Terminated,1,1,0.8,0.24,,
41558,41613,120,686,383,Terminated,1,1,1.01,0.29,,
41562,41619,120,686,697,Terminated,1,1,0.81,0.31,,
41558,41616,120,686,501,Terminated,1,1,1,0.25,,
41558,41619,120,686,88,Terminated,1,1,0.95,0.29,,
41559,41615,120,686,638,Terminated,1,1,1.01,0.3,,
41560,41617,120,686,737,Terminated,1,1,0.9,0.32,,
41560,41622,120,686,96,Terminated,1,1,0.66,0.29,,
41560,41624,120,686,1068,Terminated,1,1,1,0.3,,
41559,41621,120,686,303,Terminated,1,1,0.89,0.3,,
41558,41613,120,686,498,Terminated,1,1,0.92,0.25,,
41561,41618,120,686,1024,Terminated,1,1,0.88,0.26,,
41558,41621,120,686,256,Terminated,1,1,0.99,0.28,,
41559,41617,120,686,31,Terminated,1,1,1,0.27,,
41561,41621,120,686,1204,Terminated,1,1,0.81,0.27,,
41562,41618,120,686,1034,Terminated,1,1,1.02,0.25,,
41559,41614,120,686,743,Terminated,1,1,0.9,0.31,,
41561,41619,120,686,1127,Terminated,1,1,0.81,0.3,,
